,Society,Award Type,Year,Award Winner,Training Level,Gender,Male,Female,FName,LName,pred_genders
118,COS,4,2001,Geoff Bellingham,1,1,True,False,Geoff,Bellingham,male
119,COS,4,2001,Hussein Hollands,1,1,True,False,Hussein,Hollands,male
120,COS,4,2001,Toni Nemeh,1,-1,False,False,Toni,Nemeh,male
121,COS,4,2000,Ali Hafez,1,1,True,False,Ali,Hafez,male
122,COS,4,2000,Tara Young,1,2,False,True,Tara,Young,female
123,COS,4,2000,Michael Johnson,1,1,True,False,Michael,Johnson,male
124,COS,4,1999,Michael Altaweel,1,1,True,False,Michael,Altaweel,male
125,COS,4,1999,Sanjay Gupta,1,1,True,False,Sanjay,Gupta,male
126,COS,4,1999,Rajinder Rathee,1,1,True,False,Rajinder,Rathee,male
127,COS,4,1998,Carolyn Anderson,1,2,False,True,Carolyn,Anderson,female
128,COS,4,1998,Anthony Carlsson,1,1,True,False,Anthony,Carlsson,male
129,COS,4,1998,Ike Ahmed,1,1,True,False,Ike,Ahmed,male
130,COS,4,1997,Michele Mabon,1,-1,False,False,Michele,Mabon,male
131,COS,4,1997,Sanjay Sharma,1,1,True,False,Sanjay,Sharma,male
132,COS,4,1997,Rosa Braga-Mele,1,2,False,True,Rosa,Braga-Mele,female
133,COS,4,1996,Edward Yu,1,1,True,False,Edward,Yu,male
134,COS,4,1996,Saeed Al-Yami,1,1,True,False,Saeed,Al-Yami,male
135,COS,4,1996,Matthew Lee-Wing,1,1,True,False,Matthew,Lee-Wing,male
136,COS,4,1995,Leland Dhurjon,1,1,True,False,Leland,Dhurjon,male
137,COS,4,1995,Shane Munro,1,1,True,False,Shane,Munro,male
138,COS,4,1995,Peter Kertes,1,1,True,False,Peter,Kertes,male
139,COS,4,2021,Tina Felfeli,1,2,False,True,Tina,Felfeli,female
140,COS,4,2020,Henry Liu,1,1,True,False,Henry,Liu,male
141,COS,4,2019,Maria Gonzalez,1,2,False,True,Maria,Gonzalez,female
142,COS,4,2018,Fatma Zaguia,1,2,False,True,Fatma,Zaguia,female
