,name,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
192,McGinn,96.52,0.14,0.56,0.40,1.13,1.25
193,McKnight,62.47,33.86,0.38,0.42,1.62,1.24
194,McLennan,84.18,11.74,0,0,1.42,2.08
195,McMynn,,,,,,
196,McNaughton,93.24,2.14,0.78,0.88,1.46,1.51
197,Meadows,82.93,13.59,0.27,0.42,1.42,1.36
198,Metzger,96.58,0.56,0.49,0.27,0.93,1.17
199,Metzger,96.58,0.56,0.49,0.27,0.93,1.17
200,Metzger,96.58,0.56,0.49,0.27,0.93,1.17
201,Miller,85.81,10.41,0.42,0.63,1.31,1.43
202,Milley,92.90,4.13,0,0.00,0,1.82
203,Mitchell,63.55,31.52,0.39,0.98,1.93,1.63
204,Mok,4.69,0,90.53,0,3.23,0.89
205,Montigny,94.72,0,0.00,0,0,3.40
206,Morton,75.94,19.46,0.51,0.77,1.76,1.57
207,Mountain,84.26,7.31,0.31,5.32,1.90,0.90
208,Mukabasinga,,,,,,
209,Musso,92.35,0.39,0,0,1.30,5.44
210,Naderi,75.23,0,1.58,0,18.47,4.05
211,Nair,15.53,1.93,76.80,0.35,4.94,0.46
212,Nakagawa,4.53,0,86.44,0,7.27,1.35
213,Navarro,7.90,0.45,4.10,0.27,0.71,86.57
214,Nelson,80.29,14.93,0.51,1.09,1.49,1.68
215,Ngo,1.14,0,95.84,0,2.13,0.61
216,Nguyen,1.26,0.18,95.93,0.04,2.01,0.58
217,Northcott,95.81,0,0,1.36,0.94,1.47
218,Ogmen,,,,,,
219,Papalia,96.12,0,1.51,0.00,0,1.94
220,Parker,71.49,24.09,0.44,0.85,1.67,1.46
221,Pavlovich,95.63,0,0,0.00,1.98,1.66
222,Payne,73.69,22.03,0.35,0.54,1.75,1.64
223,Pearson,74.49,21.59,0.47,0.43,1.60,1.42
224,Pechar,95.57,0,0.00,0,0.00,3.80
225,Penner,94.80,1.23,0.69,0.32,1.29,1.67
226,Pirani,47.79,0,47.55,0,3.92,0
227,Pixley,85.97,10.52,0.32,0.36,1.28,1.55
228,Ponting,92.81,0,4.32,0.00,0,0
229,Pop,86.63,2.39,1.85,0.00,3.91,5.22
230,Preston,75.24,19.95,0.45,0.99,1.62,1.75
231,Pritchard,90.34,5.62,0.64,0.44,1.49,1.47
232,Puri,13.19,0,77.68,0,7.07,1.35
233,Qasilbash,,,,,,
234,Rees,95.13,1.06,0.64,0.34,1.16,1.68
235,Renaud,85.77,6.03,0.71,0.41,2.29,4.78
236,Riedstra,,,,,,
237,Roberts,79.56,15.86,0.47,0.85,1.67,1.58
238,Rose,84.23,10.86,0.52,0.61,1.83,1.95
239,Ruddock,70.42,23.91,0.51,0.71,2.33,2.13
240,Rundle Paul,,,,,,
241,Rusev,92.11,0.00,0,0.00,7.02,0
242,Ryan,93.33,2.82,0.64,0.42,1.17,1.62
243,Saber,84.04,1.00,4.55,0.00,7.54,2.88
244,Safnuk,,,,,,
245,Sano,46.98,0,35.88,0,4.20,9.38
246,Saraceni,96.08,0,0,0,2.06,0
247,Saran,46.26,1.18,39.17,0.00,9.25,4.13
248,Sartorius,97.16,0,0,0.00,0,1.55
249,Schmitt,96.82,0.19,0.42,0.32,0.88,1.37
