,name,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic,race
101,Gill,70.90,14.15,8.35,0.53,2.28,3.79,pctwhite
102,Gill,70.90,14.15,8.35,0.53,2.28,3.79,pctwhite
103,Glymin,,,,,,,
104,Gomez,6.10,0.81,1.04,0.34,0.54,91.16,pcthispanic
105,Grant,58.25,36.58,0.41,1.07,1.89,1.81,pctwhite
106,Grave,75.07,8.40,1.22,0.68,1.90,12.74,pctwhite
107,Grout,94.08,1.75,0.36,0.72,1.44,1.65,pctwhite
108,Haberstock,99.14,0.00,0.00,0.00,0,0,pctwhite
109,Haggard,89.94,5.59,0.36,1.02,1.64,1.45,pctwhite
110,Haji-Zainali,,,,,,,
111,Hancock,88.67,7.61,0.36,0.56,1.40,1.41,pctwhite
112,Hansen,95.64,0.40,0.60,0.49,1.24,1.62,pctwhite
113,Hartley,90.68,5.78,0.40,0.40,1.36,1.38,pctwhite
114,Hawkey,97.52,0,0.52,0,0.62,0.93,pctwhite
115,Haywood,47.38,48.34,0.31,0.45,1.92,1.61,pctblack
116,Hetherington,92.71,3.69,0.52,0.37,1.23,1.48,pctwhite
117,Ho,2.69,0.26,93.08,0.06,2.99,0.92,pctapi
118,Hokanson,95.63,0,0.39,0,1.69,2.01,pctwhite
119,Hou,4.36,0.64,92.46,0,2.03,0,pctapi
120,Hui,3.79,1.14,92.50,0,1.65,0,pctapi
121,Humala,,,,,,,
122,Hutchison,91.96,4.59,0.28,0.57,1.34,1.27,pctwhite
123,Hutchison,91.96,4.59,0.28,0.57,1.34,1.27,pctwhite
124,Inkman,,,,,,,
125,Inoue,4.55,0,89.31,0,4.98,0.87,pctapi
126,Issel,92.54,0,0,0.00,2.63,2.63,pctwhite
127,Jakobsson,,,,,,,
128,Jakobsson,,,,,,,
129,Jassal,5.29,0,86.06,0.00,8.17,0,pctapi
130,Jiang,0.71,0.06,97.74,0.09,1.19,0.21,pctapi
131,Jin,1.54,0.27,96.39,0.25,1.20,0.35,pctapi
132,Joe,12.42,25.66,21.65,34.62,2.85,2.79,pctaian
133,Joe,12.42,25.66,21.65,34.62,2.85,2.79,pctaian
134,Joe,12.42,25.66,21.65,34.62,2.85,2.79,pctaian
135,Johnson,61.55,33.80,0.42,0.91,1.82,1.50,pctwhite
136,Joseph,35.48,48.84,6.91,1.09,5.31,2.37,pctblack
137,Jung,38.63,0.62,57.15,0.13,2.16,1.31,pctapi
138,Kaerne,,,,,,,
139,Kaur,0.84,0.16,89.33,0.46,8.88,0.33,pctapi
140,Khalid,10.56,11.59,62.39,0,14.61,0,pctapi
141,Khalil,65.79,4.70,7.62,0,18.81,0,pctwhite
142,Kim,2.60,0.36,94.52,0.03,1.99,0.50,pctapi
143,Kim,2.60,0.36,94.52,0.03,1.99,0.50,pctapi
144,Kim,2.60,0.36,94.52,0.03,1.99,0.50,pctapi
145,Kitano,10.34,0.00,85.06,0.00,4.60,0.00,pctapi
146,Kitz,98.09,0,0,0.00,0,0,pctwhite
147,Kloska,99.05,0,0.00,0.00,0.00,0,pctwhite
148,Koehler,96.75,0.20,0.49,0.25,0.95,1.36,pctwhite
149,Kreger,96.75,0.17,0.35,0.58,1.13,1.02,pctwhite
150,Kruger-Southwood,,,,,,,
151,Kuoppala,,,,,,,
152,Kwiatkowska,,,,,,,
153,Lafferty,94.59,0.21,0.34,2.03,1.51,1.33,pctwhite
154,Lalji,5.79,0,77.69,0.00,14.88,0,pctapi
155,Lam,7.82,0.42,87.47,0.07,2.14,2.08,pctapi
156,Lam,7.82,0.42,87.47,0.07,2.14,2.08,pctapi
