,Society,Award,Gender,pred_gender
120,Association of University Radiologists,AMSER Excellence in Education Award:,1,1
121,Association of University Radiologists,AMSER Excellence in Education Award:,2,2
122,Association of University Radiologists,AMSER Excellence in Education Award:,1,0
123,Association of University Radiologists,AMSER Excellence in Education Award:,1,1
124,Association of University Radiologists,AMSER Excellence in Education Award:,2,2
125,Association of University Radiologists,AMSER Excellence in Education Award:,2,0
126,Association of University Radiologists,AMSER Excellence in Education Award:,2,2
127,Association of University Radiologists,AMSER Excellence in Education Award:,2,0
128,Association of University Radiologists,AMSER Excellence in Education Award:,2,0
129,Association of University Radiologists,AMSER Excellence in Education Award:,1,0
130,Association of University Radiologists,RAHSR Achievement Award,1,0
131,Association of University Radiologists,RAHSR Achievement Award,1,0
132,Association of University Radiologists,RAHSR Achievement Award,1,0
133,Association of University Radiologists,RAHSR Achievement Award,1,0
134,Association of University Radiologists,RAHSR Achievement Award,2,2
135,Association of University Radiologists,RAHSR Achievement Award,2,0
136,Association of University Radiologists,RAHSR Achievement Award,2,0
137,Association of University Radiologists,RRA New Investigator Award,2,0
138,Association of University Radiologists,RRA New Investigator Award,1,0
139,Association of University Radiologists,RRA New Investigator Award,2,0
140,Association of University Radiologists,RRA New Investigator Award,1,0
141,Association of University Radiologists,RRA New Investigator Award,1,2
142,Association of University Radiologists,RRA New Investigator Award,1,0
143,Association of University Radiologists,RRA New Investigator Award,1,1
144,Association of University Radiologists,RRA New Investigator Award,1,0
145,Association of University Radiologists,RRA New Investigator Award,1,0
146,Association of University Radiologists,RRA New Investigator Award,1,0
147,Association of University Radiologists,RRA New Investigator Award,1,1
148,Association of University Radiologists,RRA New Investigator Award,1,1
149,Association of University Radiologists,RRA New Investigator Award,1,1
150,Association of University Radiologists,RRA Innovation and Leadership Award:,1,1
151,Association of University Radiologists,RRA Innovation and Leadership Award:,1,0
152,Association of University Radiologists,RRA Innovation and Leadership Award:,1,1
153,Association of University Radiologists,RRA Innovation and Leadership Award:,1,1
154,Association of University Radiologists,RRA Innovation and Leadership Award:,1,0
155,Association of University Radiologists,RRA Innovation and Leadership Award:,1,1
156,Association of University Radiologists,RRA Innovation and Leadership Award:,1,0
157,Association of University Radiologists,RRA Innovation and Leadership Award:,2,0
158,Association of Program Directors in Radiology,APDR Achievement Award,1,0
159,Association of Program Directors in Radiology,APDR Achievement Award,1,1
160,Association of Program Directors in Radiology,APDR Achievement Award,1,0
161,Association of Program Directors in Radiology,APDR Achievement Award,1,1
162,Association of Program Directors in Radiology,APDR Achievement Award,1,1
163,Association of Program Directors in Radiology,APDR Achievement Award,1,1
164,Association of Program Directors in Radiology,APDR Achievement Award,2,0
165,Association of Program Directors in Radiology,APDR Achievement Award,1,1
166,Association of Program Directors in Radiology,APDR Achievement Award,2,1
167,Association of Program Directors in Radiology,APDR Achievement Award,2,0
168,Association of Program Directors in Radiology,APDR Achievement Award,1,0
169,Association of Program Directors in Radiology,APDR Achievement Award,1,0
170,Association of Program Directors in Radiology,APDR Achievement Award,1,1
171,Association of Program Directors in Radiology,APDR Achievement Award,1,1
172,Association of Program Directors in Radiology,APDR Achievement Award,1,1
173,Association of Program Directors in Radiology,APDR Achievement Award,1,0
174,Association of Program Directors in Radiology,APDR Achievement Award,1,1
175,Association of Program Directors in Radiology,APDR Achievement Award,1,0
176,Association of Program Directors in Radiology,APDR Achievement Award,2,0
177,Association of Program Directors in Radiology,APDR Achievement Award,2,1
178,Association of Program Directors in Radiology,APDR Achievement Award,2,0
179,Association of Program Directors in Radiology,APDR Achievement Award,2,0
180,Association of Program Directors in Radiology,APDR Achievement Award,2,0
181,Association of Program Directors in Radiology,APDR Achievement Award,2,2
182,Association of Program Directors in Radiology,APDR Achievement Award,1,1
183,Association of Program Directors in Radiology,APDR Achievement Award,2,0
184,Association of Program Directors in Radiology,APDR Achievement Award,1,1
185,Association of Program Directors in Radiology,APDR Achievement Award,2,0
186,American college of radiology,Leadership Luminary Award,1,1
187,American college of radiology,Leadership Luminary Award,1,0
188,American college of radiology,Leadership Luminary Award,1,1
189,American college of radiology,Leadership Luminary Award,1,0
190,American college of radiology,Leadership Luminary Award,1,1
191,American college of radiology,Leadership Luminary Award,2,2
192,American college of radiology,Leadership Luminary Award,1,0
193,American college of radiology,Leadership Luminary Award,1,1
194,American college of radiology,Leadership Luminary Award,1,0
195,American college of radiology,Leadership Luminary Award,1,0
196,American college of radiology,Leadership Luminary Award,2,1
197,American college of radiology,Leadership Luminary Award,1,0
198,Canadian Association of Radiologists,Distinguished Career Achievement Award,1,0
199,Canadian Association of Radiologists,Distinguished Career Achievement Award,1,0
200,Canadian Association of Radiologists,Distinguished Career Achievement Award,1,0
201,Canadian Association of Radiologists,Distinguished Career Achievement Award,1,1
202,Canadian Association of Radiologists,Gold medal Award,1,1
203,Canadian Association of Radiologists,Gold medal Award,1,0
204,Canadian Association of Radiologists,Gold medal Award,1,0
205,Canadian Association of Radiologists,Gold medal Award,1,0
206,Canadian Association of Radiologists,Gold medal Award,1,0
207,Canadian Association of Radiologists,Gold medal Award,1,1
208,Canadian Association of Radiologists,Gold medal Award,1,1
209,Canadian Association of Radiologists,Gold medal Award,1,1
210,Canadian Association of Radiologists,Gold medal Award,1,0
211,Canadian Association of Radiologists,Gold medal Award,2,0
212,Canadian Association of Radiologists,Gold medal Award,1,1
213,Canadian Association of Radiologists,Gold medal Award,1,1
214,Canadian Association of Radiologists,Gold medal Award,1,0
215,Canadian Association of Radiologists,Gold medal Award,1,1
216,Canadian Association of Radiologists,Gold medal Award,1,2
217,Canadian Association of Radiologists,Gold medal Award,1,1
218,Canadian Association of Radiologists,Gold medal Award,1,1
219,Canadian Association of Radiologists,Gold medal Award,1,0
220,Canadian Association of Radiologists,Gold medal Award,1,2
221,Canadian Association of Radiologists,Gold medal Award,1,2
222,Canadian Association of Radiologists,Gold medal Award,1,0
223,Canadian Association of Radiologists,Gold medal Award,1,2
224,Canadian Association of Radiologists,Gold medal Award,1,0
225,Canadian Association of Radiologists,Gold medal Award,2,2
226,Canadian Association of Radiologists,Gold medal Award,1,0
227,Canadian Association of Radiologists,Gold medal Award,1,0
